type,year,title,author,partof,resources,File,tags,abstract,alias
,2019,20 million URIs and the overhaul of the Finnish library sector subject indexing,"Matias Frosterus,Jarmo Saarikko,Okko Vainonen",,,SWIB/SWIB2019/20 million URIs and the overhaul of the Finnish library sector subject indexing.md,"#swib/2019,#finland,#YSA,#LCSH,#SKOS,#Melinda","The library sector of Finland has been using the General Finnish Thesaurus YSA and its Swedish language counterpart Allärs for over thirty years. YSA is the most widely used thesaurus in Finland and comprises of some 36,000 concepts. Lately, the National Library of Finland has been developing the General Finnish Ontology YSO, a multilingual successor of YSA and Allärs built according to linked data principles. YSO has been linked to the Library of Congress Subject Headings, over a dozen Finnish vocabularies, and Wikidata. This year, the development of YSA and Allärs was frozen and the Finnish libraries are switching to using YSO and linked data en masse. This presentation describes the process of the switch and the lessons learned. First, we needed two sets of conversion rules: one for converting the SKOS YSO into MARC authority records to support the subject indexing processes and another one to convert the millions of bibliographic records from YSA and Allärs annotations to YSO. Devising the rules turned out to be a very complex task and we formed an expert group with representation from various types of libraries. The conversion extends from the national union catalog Melinda to the local library databases employing various library systems. To this end we developed open source conversion programs and made them available to libraries and library system providers. Aside from the conversion, we also added YSO URIs to the MARC records making linking and updates simpler in the future.",SWIB
,2019,Automated subject indexing with Annif,"Osma Suominen,Mona Lehtinen,Juho Inkinen,Anna Kasprzik",,,SWIB/SWIB2019/Automated subject indexing with Annif.md,"#swib/2019,#Annif,#Finland,#automation,#REST,#API,#workshop","Due to the proliferation of digital publications, intellectual subject indexing of every single literature resource in institutions such as libraries is no longer possible. For the task of providing subject-based access to information resources of different kinds and with varying amounts of available metadata, it has become necessary to explore possibilities of automation. In this hands-on tutorial, participants will be introduced to the multilingual automated subject indexing tool Annif as a potential component in a library’s metadata generation system. By completing exercises, participants will get practical experience on setting up Annif, training algorithms using example data from the organizing institutions NLF and ZBW, and using Annif to produce subject suggestions for new documents using both the command line interface and the web user interface and REST API provided by the tool. The tutorial will also introduce the corpus formats supported by Annif so that participants will be able to apply the tool to their own vocabularies and documents. Participants are requested to bring a laptop with at least 8GB of RAM and at least 20 GB free disk space. The organizers will provide the software as a preconfigured virtual machine. No prior experience with the Annif tool is required, but participants are expected to be familiar with subject vocabularies (e.g. thesauri, subject headings or classifications) and subject metadata that reference those vocabularies.",SWIB
,2019,Controlled vocabulary mapping with Cocoda,Jakob Voß,,,SWIB/SWIB2019/Controlled vocabulary mapping with Cocoda.md,"#swib/2019,#workshop,#Cocoda,#mapping,#APIs","During the last years we developed the web application Cocoda for creating and managing mappings between library classification schemes, authority files, knowledge graphs, and similar knowledge organization systems. The workshop will introduce you to the technical background of Cocoda and vocabulary mappings. You will learn how to set up and configure your own instance of Cocoda and related services, and how to integrate additional vocabularies. We will explore the JSKOS data format and APIs, discuss integration of additional data sources and brainstorm about quality assurance and usability. The participants are required to bring their own computer with NodeJS (at least version 8), git, and basic practical knowledge of processing JSON files. Participants are encouraged to bring their own vocabularies, mappings, and/or data sources.''",SWIB
,2019,Cool and the BnF gang: some thoughts at the Bibliothèque nationale de France about handling persistent identifiers,Raphaëlle Lapôtre,,,SWIB/SWIB2019/Cool and the BnF gang some thoughts at the Bibliothèque nationale de France about handling persistent identifiers..md,"#swib/2019,#BnF,#PID,#RAMEAU,#indexing,#SPAR,#digital/preservation","“Cool URI’s don’t change,” as Tim Berners Lee wrote in 1998, implying that URIs should remain the same as long as possible. Still, cool URIs are also supposed to use web protocols to communicate information about the object they identify. This second requirement somehow contradicts the first, as web protocols are also mutable. Indeed, the recent transition of a lot of web resources towards the secure version of HTTP for indexing purposes brought change in URIs. At the Bibliothèque nationale de France (BnF), this recent evolution of web technologies, combined with a revision of our indexing language RAMEAU, prompted us to start a thinking process about what in URIs should constitute durability - other than the immutability of the URI design. For now, the BnF’s answer is twofold: a URI should be considered completely stable only if the identified resource is somehow digitally preserved. As the BnF has a tool for digital preservation at its disposal (SPAR), it should also have a tool that keeps track of changes in URIs. Furthermore, the institution should communicate about its policy regarding the future of the URIs it is handling, even if this policy implies possible mutation or disappearing of the identifier: thus, reliability of the identifier wouldn’t solely depend on the permanence of its design, but also on the trustable transparency of the institution with regards to its commitment in maintaining identifiers.",SWIB
,2019,Data modeling in and beyond BIBFRAME,Tiziana Possemato,,,SWIB/SWIB2019/Data modeling in and beyond BIBFRAME.md,"#swib/2019,#Share-VDE,#BIBFRAME,#bibliographic/data","Share-VDE has reached its production phase, with over 20 libraries involved in the analysis, conversion, enrichment and publication of their data (originally in MARC21) according to BIBFRAME. Unlike some software components, the deliverables (library datasets and the Cluster Knowledge Base) are open source and accessible as dump and/or as SPARQL end-point, available to enhance other databases. Share-VDE uses external sources in various formats (VIAF, ISNI, Wikidata, LC data etc.) in the enrichment process. Share-VDE tools are evolving and aim to allow librarians wider and more direct interaction with bibliographic data expressed in Linked Data. The CKB editor and the URI Registry, two of the main tools for this direct interaction with data in LD, permit data to be validated, updated, controlled and maintained, ensuring a quality that massive and automated procedures cannot fully guarantee. The CKB Editor will be released in open source as an RDF/BIBFRAME Editor. Since the CKB is released in two versions (Postgres database, for internal use, and RDF, for external use), the update procedures will connect with both versions, using APIs to align them through automatic and manual procedures. Further analysis is also being carried out to verify how the BIBFRAME ontology complies to the requirements of a collective catalogue, intended as a catalogue produced by the integration of independent library catalogues. In this context, the SuperWork and Master Instance concepts implemented in Share-VDE are considered necessary extensions of the BIBFRAME ontology to better identify and qualify more specific entities. The presentation will touch upon these complex issues, typical of the current technological environment, but still conditioned by the dominant cataloguing tradition. Discussions and analysis of these topics, shared with the Library of Congress, will be presented.",SWIB
,2019,Design for simple application profiles,"Karen Coyle,Tom Baker",,,SWIB/SWIB2019/Design for simple application profiles.md,"#swib/2019,#DCMI,#Dublin-Core,#ShEx,#SHACL","'The Dublin Core Metadata Initiative has long promoted the notion of semantic interoperability on the basis of shared global vocabularies, or namespaces, selectively used and constrained for specific purposes in application profiles. For twenty years, the Dublin Core community has used application profiles for requirements ranging from building consensus about metadata structures and content within communities of practice to serving as templates for metadata creation and, more recently, as a basis for conformance validation and quality control. The emergence in the past few years of new validation languages (ShEx and SHACL) have provided an impetus for re-examining the long-elusive goal of making it easier for content experts to develop actionable profiles with user-friendly interfaces without having to rely on IT experts. A DCMI Application Profiles Interest Group started in April 2019 aims at creating a core model for simple application profiles that can meet the most common, straightforward use cases.'",SWIB
,2019,Digital sources and research data: linked and usable,"Florian Kräutli,Esther Chen",,,SWIB/SWIB2019/Digital sources and research data linked and usable.md,"#swib/2019,#digital/research,#digital/knowledge,#Knowledge/Graph,#CIDOC,#graph,#ResearchSpace,#Metaphactory","We present the Max Planck Digital Research Infrastructure for the Humanities (MP-DRIH), which we developed to address an immediate need: the ability to maintain digital sources and research outputs in ways that they remain not only accessible, but also usable in the long term. Our ambition is to close the digital research lifecycle: to make sure that digital research outputs can be discovered, accessed, and reused. We achieve this through the adoption of a common model to represent our digital knowledge, and the implementation of linked open data technologies for data storage and exchange. At the centre of our infrastructure is a Knowledge Graph, which makes all our digital artefacts – be they sources, annotations or entire research databases – centrally accessible. Key challenges are to bring data from various sources together in ways that retain the original context and detail, and to provide users with an environment in which they are able to make sense of this vast information resource. We address these challenges by harmonising all input data to a common model (CIDOC-CRM) that does not compromise the data's original expressivity. The resulting graph becomes usable through ResearchSpace, a software system based on the semantic data platform Metaphactory. We have successfully implemented a pilot project to evaluate the feasibility of our approach and have implemented a production-ready first version of the entire system together with our partners.",SWIB
,2019,Empirical evaluation of library catalogues,Péter Király,,,SWIB/SWIB2019/Empirical evaluation of library catalogues.md,"#swib/2019,#MARC,#user-tasks,#metadata,#FRBR","The library community is in the transition period from Machine Readable Cataloguing (MARC) to some linked data based metadata schema. MARC is complex both as data structure and as semantic structure. This complexity leads to a wide range of errors. When we transform records from MARC to semantic schemas, we should not suppose that we have structurally and semantically perfect records. The aim of this presentation is to call attention to the typical issues revealed by an investigation of 16 library catalogues. The most frequent issue types are usage of undocumented schema elements, then improper values in places where a value should be taken from a dictionary, or should match to other strict requirements. MARC has a number of features which makes validation a challenge such as intensive use of information compressing and encoding techniques, versions without versioning, dependency on internal and external data dictionaries, it is huge (the “core” MARC21 has about 3000 semantic data elements, while other versions defined several hundreds more), and the standard itself is not a machine-readable rule set. Some of these errors might block the transformation of the records, some others might survive in the new structure as well if we do not fix them. The research aims to detect different issues of the metadata records. The foremost of them are those which do not fit the rules defined by the standard. Organized by structure the tool detects issues on record level, in control fields, in data fields, in indicators and in subfields. It also calculates completeness, Thompson-Traill completeness, runs a functional analysis based on the FRBR defined “user tasks” and provides a web based user interface. In the research process a tool has been built which contains an (exportable) object model of the standard.",SWIB
,2019,"Forever in between : similarities and differences, opportunities and responsibilities in the LODLAM universe",Saskia Scheltjens,,,"SWIB/SWIB2019/Forever in between  similarities and differences, opportunities and responsibilities in the LODLAM universe.md","#swib/2019,#cultural-heritage,#LODLAM,#digital-strategy,#open-science,#open/science","Digital cultural heritage data from libraries, archives and museums is often seen as homogeneous, sharing similar semantic technological challenges and possible solutions. While this indeed might be the case, there are also differences that are interesting to take a closer look at. Current interdisciplinary research, technological innovations and societal changes also pose new challenges and opportunities. Can the LODLAM world live up to the expectations? Should it? And why? This talk will cover research, current projects and real-world examples from the library and museum world with a focus on digital strategy, networked infrastructure and open science concepts.",SWIB
,2019,From raw data to rich(er) data: lessons learned while aggregating metadata,Julia Beck,,,SWIB/SWIB2019/From raw data to rich(er) data lessons learned while aggregating metadata.md,"#swib/2019,#cultural-heritage,VuFind,#preprocessing,#modeling,#EDM,#interlinking,#enrichment","'In the project Specialised Information Service (SIS) Performing Arts metadata from German-speaking cultural heritage institutions from the performing arts domain is aggregated in a VuFind-based search portal. As the gathered metadata tends to be very heterogeneous due to various software solutions, workflows and material types in the participating GLAM institutions, not only the differences in data format and standardization are a challenge for modeling data as LOD. This talk also highlights how the differences in scope and detail of description, the lack of a common vocabulary and the handling of entities are tackled in order to make the collections linked and searchable. Over the years, we learned that thorough analysis of the delivered metadata in cooperation with the data providers is key in improving the search experience for users. The current workflow from raw to linked data basically involves four steps: (1) thorough analysis and documentation of the delivered data, (2) preprocessing of the raw data for more interoperability, (3) modeling and transforming the preprocessed title and authority data in EDM, (4) interlinking and enrichment of the entities. Though the resulting enriched metadata can not always be given back to the data provider's in-house database, this workflow includes the creation of best practice documents for the performing arts GLAM community based on the results of the analysis. We will focus on the impact of the data's heterogeneity on the workflow by describing the different, possibly data provider-specific, stages of the process and their limitations.'",SWIB
